pl_name,hostname,pl_rade,pl_orbper,pl_orbsmax,st_teff,st_rad,discoverymethod,disc_year,ra,dec,sy_dist
"Kepler-26 c","Kepler-26",2.72000000,17.25590000000,0.1072500000,3914.00,0.512000,"Transit",2011,284.9410627,46.5664505,335.30700000
"Kepler-474 b","Kepler-474",3.06000000,5.66067293500,0.0609200000,5785.00,1.080000,"Transit",2016,292.3215174,43.8811723,841.49600000
"Kepler-768 b","Kepler-768",1.79000000,11.39100250000,0.0920000000,5108.00,0.780000,"Transit",2016,294.1156858,38.3934378,784.56000000
"Kepler-810 b","Kepler-810",1.93000000,4.59725385000,0.0550000000,5803.00,1.040000,"Transit",2016,296.6148615,48.0825642,1458.59000000
"Kepler-827 b","Kepler-827",5.63000000,51.92927591000,0.2742000000,5602.00,0.910000,"Transit",2016,294.9660027,42.7085608,2046.68000000
"Kepler-458 c","KIC 9663113",4.20000000,20.74028413000,0.1701200000,6117.21,2.215620,"Transit",2016,297.0454037,46.3286653,1594.74000000
"Kepler-307 c","Kepler-307",2.20000000,13.07290000000,0.1089600000,5367.00,0.814000,"Transit",2013,297.7950939,40.4176403,575.58100000
"Kepler-500 b","Kepler-500",2.58000000,8.50832439800,0.0836100000,5813.00,1.030000,"Transit",2016,295.9513472,43.8519884,807.48000000
"Kepler-806 b","Kepler-806",1.14000000,8.09219642000,0.0768400000,5770.00,1.160000,"Transit",2016,296.0071956,44.8535698,361.89600000
"Kepler-784 b","Kepler-784",1.58000000,31.59226460000,0.2211100000,5674.00,1.320000,"Transit",2016,295.9206663,47.4486164,1303.72000000
"Kepler-831 b","Kepler-831",1.27000000,5.62153941000,0.0598400000,5732.00,0.970000,"Transit",2016,294.9855607,42.7277355,593.54000000
"K2-30 b","K2-30",11.64615100,4.09850300000,0.0483900000,5425.00,0.844000,"Transit",2016,52.3420548,22.2993491,333.04200000
"Kepler-779 b","Kepler-779",0.92000000,7.09714223000,0.0533000000,3804.00,0.440000,"Transit",2016,285.6285208,44.3107855,283.15500000
"Kepler-803 b","Kepler-803",3.79000000,50.28638192000,0.2672100000,5919.00,1.120000,"Transit",2016,299.2216728,44.6939033,639.77100000
"Kepler-802 b","Kepler-802",3.54000000,40.05874730000,0.2265000000,5507.00,0.900000,"Transit",2016,286.0157998,45.0077413,780.58500000
"Kepler-830 b","Kepler-830",1.70000000,11.29695137000,0.1033000000,6037.00,1.110000,"Transit",2016,295.0542380,42.7568316,1122.00000000
"Kepler-829 b","Kepler-829",2.11000000,6.88337562000,0.0678000000,5698.00,0.970000,"Transit",2016,282.3328312,42.4638125,1073.76000000
